,Brenda,Guadalupe,Fernanda
alina,0.5115293689803584,,
si,0.3124906181765281,0.3551616928515592,0.2165915045098186
inés,0.26783941208413614,,
aurelio,0.20197726157164364,,
mientras,0.17245332870322921,0.08219899441542636,0.07764601105068969
vez,0.15559698830366547,0.10391193633648238,0.14466677848391657
nicolás,0.11196565587123725,,
dos,0.10373132553577698,0.0915045409530218,0.0637514617047768
así,0.10113804239738255,0.11321748287407782,0.07601135818646465
casa,0.09465483455139649,0.10546286075941495,0.10706976260674052
leonelb,0.09440241573457259,,
doris,0.09220701071748949,,
después,0.08946826827460765,0.06048605249437034,0.08745392823603997
marlene,0.08781620068332333,,
hacer,0.08039177729022716,0.07289344787783093,
madre,0.08039177729022716,0.07599529672369608,0.1209643119526534
iba,0.07909513572102994,0.148888744601527,0.06293413527266427
solo,0.07779849415183274,,0.05721285024787661
ser,0.07650185258263552,0.15819429113912245,
ahora,0.07131528630584667,,
luego,0.07001864473664945,0.18456000632897618,0.05149156522308895
tan,0.07001864473664945,,0.106252436174628
hacia,0.06872200316745225,,
par,0.06483207845986061,,
ver,0.06483207845986061,0.07909714556956123,0.06211680884055175
veces,0.06353543689066339,0.06979159903196579,
momento,0.06223879532146619,,
bien,0.060942153752268975,0.08219899441542636,0.13240688200222872
tiempo,0.060942153752268975,,
siempre,0.05964551218307176,0.06979159903196579,0.08009799034702726
doctora,0.058348870613874546,,
día,0.058348870613874546,0.05893512807143777,0.05394354451942652
departamento,0.057080530444160164,,
mejor,0.0531623043370857,0.062036976917302915,
nunca,0.0531623043370857,0.10081008749061723,0.10134847758195285
casi,0.05186566276788849,0.05583327922557262,
algún,0.05056902119869128,,
cada,0.05056902119869128,,
niño,0.05056902119869128,,
sino,0.05056902119869128,,
ahí,0.049272379629494066,0.0744443723007635,0.11115639476730313
lugar,0.049272379629494066,,
menos,0.049272379629494066,,
podía,0.049272379629494066,0.07599529672369608,0.05884750311210166
toda,0.049272379629494066,,
salir,0.04797573806029685,,
tampoco,0.04797573806029685,,
vida,0.04797573806029685,,
entonces,0.046679096491099636,0.0744443723007635,
días,0.045382454921902425,,
daniel,,0.3019834811042323,
nagore,,0.2757240479647338,
fran,,0.24158678488338584,
rafael,,0.19431980523228862,
leonel,,0.18119008866253938,
dijo,,0.1783563086372459,0.05149156522308895
dije,,0.13027765152633614,
quería,,0.11631933171994296,0.05394354451942652
mamá,,0.11476840729701039,
aunque,,0.11011563402821267,0.07846333748280221
nomás,,0.10984036663258437,0.10524565939722734
pues,,0.09615731422181951,
cómo,,0.08995361653008922,0.0956271925571652
decía,,0.08840269210715665,0.05884750311210166
daba,,0.06668975018610064,0.05149156522308895
sentí,,0.06390712240441272,
hijo,,0.062036976917302915,
sé,,0.06048605249437034,
pinche,,0.05791582967899904,0.21891097154623285
paletas,,0.05777075290689661,
vi,,0.05583327922557262,
sólo,,0.05514480959294677,
cosas,,0.05428235480264005,
ir,,0.05428235480264005,
hacía,,0.05273143037970748,0.05884750311210166
hermano,,0.05273143037970748,
sabía,,0.05273143037970748,
normaf,,,0.31690255320541233
brandof,,,0.30029630587587103
luismiguelf,,,0.29060932826697194
brujaf,,,0.20896194556339415
munraf,,,0.189587990345596
chamaco,,,0.1715978890719263
chabelaf,,,0.12454685497155941
aquel,,,0.1168776797920908
aquella,,,0.09235788682871511
yeseniaf,,,0.08995050636834848
tal,,,0.08336729607547735
ojos,,,0.0743767053222396
pepef,,,0.07196040509467878
siquiera,,,0.0711073995937895
abuela,,,0.0637514617047768
quién,,,0.06293413527266427
nadie,,,0.06211680884055175
vieja,,,0.055578197383651565
mauriliof,,,0.055354157765137524
dinero,,,0.05394354451942652
seguramente,,,0.05262282969861367
verga,,,0.05262282969861367
